"Province","Sex","age4","nd","hatNd","lab1mean","lab2mean","lab3mean","lab1meanvar","lab2meanvar","lab3meanvar","lab1cv","lab2cv","lab3cv","covarlab12","UNEMPRate","vrate","cvrate"
1,1,"1",300,66770.48,0.682649128776669,0.111941085341906,0.205409785881425,0.00081842075437334,0.000479959746391154,0.000538847817632139,0.0419074057321559,0.195709944702597,0.113008714371581,-0.000379766341566177,14.0879013298798,7.32409307330205,0.192101442530314
2,1,"1",306,86108.68,0.626363683661159,0.134736823279604,0.238899493059236,0.000913338358932009,0.00045638817391521,0.000706946383890795,0.0482491069522046,0.158555345191903,0.111295603939387,-0.000331390074478212,17.7028949594552,7.49708759450642,0.154668545009421
3,1,"1",509,413808.15,0.646264990189294,0.141357945705033,0.212377064105673,0.00052035696147579,0.00029649746929559,0.000354746467928437,0.0352971836686736,0.12181205511031,0.0886852566516493,-0.000231053981421471,17.9474135735425,4.58504746472747,0.119308132344004
4,1,"1",364,171389.29,0.695006846693863,0.151547684222275,0.153445469083862,0.000813201156314174,0.000553713592785588,0.000380464696516193,0.0410307930148128,0.155272050429677,0.127116847297543,-0.000493225026291784,17.901703751827,7.59430602673226,0.153939361556141
5,1,"1",219,30792.42,0.699874189816845,0.083295174591669,0.216830635591486,0.00102007533131753,0.000388771076536782,0.000794670199105845,0.0456347992907832,0.236715736844764,0.13000882121666,-0.000307088104374234,10.6356528200739,6.20171979733762,0.234148790055294
6,1,"1",559,144960.58,0.656327327056776,0.124709076081235,0.218963596861988,0.000466960640503979,0.000240982357033771,0.000334448085287785,0.0329245350678259,0.124478561881634,0.0835203755499935,-0.000186747456124982,15.9671272145812,3.80627495385348,0.122186519250114
7,1,"1",749,297846.17,0.592436390906084,0.157056107184457,0.250507501909459,0.000520493936648773,0.000353604581972253,0.000364161986232792,0.0385093430434289,0.11973031171962,0.0761774741414137,-0.000254968266194117,20.9549938904771,5.84358381267768,0.115359164013569
8,1,"1",1385,1241349.21,0.717690850264447,0.0978090041238275,0.184500145611725,0.000164978584132657,7.63901078579547e-05,0.000116519470561095,0.0178968408687049,0.0893592931167363,0.0585062871105851,-6.24246107147579e-05,11.9937488152216,1.12348529208022,0.088374861558251
9,1,"1",304,70997.4,0.723978906269807,0.0942352818553919,0.181785811874801,0.000748408356448242,0.000369262771133978,0.00049186773533933,0.0377870859248092,0.203917373367429,0.1220012228016,-0.000312901696121445,11.5171899024773,5.4192472185693,0.202126359451103
10,1,"1",383,80306.79,0.598821220472142,0.156629346036618,0.24454943349124,0.000703161421275279,0.000370665857842207,0.000531902673184186,0.044282316900606,0.122918756409822,0.0943081933876404,-0.00027096230296665,20.7332356318779,6.17108157654625,0.119815653350129
11,1,"1",551,280132.71,0.555544370380738,0.165449083043533,0.279006546575728,0.000532616474550365,0.000302219008548977,0.000434065729003681,0.0415421095619021,0.105074304421075,0.0746729580310775,-0.000200384877047831,22.9473766034563,5.35441921392818,0.100837748925885
12,1,"1",558,124082.63,0.640339103063821,0.126138686776707,0.233522210159472,0.000486482488985215,0.000257418244681227,0.000360144656076696,0.0344447932935367,0.127195385825854,0.0812662640847724,-0.000191878038794873,16.4569265344206,4.18051375136871,0.124241331690546
13,1,"1",567,106963.72,0.674078650218972,0.12541616914595,0.200505180635079,0.000468967835454332,0.000256674888779648,0.000326488165839813,0.0321263181938477,0.127743308552362,0.0901172901052482,-0.000199577279197083,15.6869270579607,3.86105257033308,0.125260742082668
14,1,"1",486,167545.88,0.67183096355458,0.131518125065206,0.196650911380214,0.000478974418787176,0.00025617726786624,0.000321436410819849,0.0325758790379635,0.121698348833936,0.0911699195443642,-0.000206857637916783,16.3712297590533,3.85273484478284,0.119895603151834
15,1,"1",1106,223808.95,0.664434107751276,0.0980076087216351,0.237558283527089,0.000220519676317542,9.17360264037752e-05,0.000173113572449844,0.0223497029321245,0.0977260103751457,0.0553854107337598,-6.95710651357365e-05,12.8544394416169,1.52925300073095,0.0962025376430274
16,1,"1",269,42791.84,0.719032881035263,0.0787304308484982,0.202236688116239,0.000915830841888231,0.000374082540501335,0.000680752426568284,0.0420880574440121,0.245663758136419,0.129013350623836,-0.000304580477910641,9.86889590881183,5.76648957708235,0.243325255106306
17,1,"1",508,172587.88,0.664560802299675,0.123840387865011,0.211598809835314,0.000508055503110755,0.00025378383467522,0.000366951683660984,0.0339172676205191,0.128638116952446,0.0905297292923621,-0.000197443827062495,15.7077880411549,3.94381527582341,0.126427994856785
18,1,"1",627,207523.83,0.596341827345804,0.189196055219297,0.214462117434899,0.000460431636288347,0.000350442074449146,0.000286722090784056,0.0359821662995988,0.0989454992620359,0.0789550636303145,-0.000262075809976718,24.0849053137316,5.25886183464778,0.0952140277531416
19,1,"1",314,62492.68,0.718791704884476,0.119069625434531,0.162138669680993,0.000952018490492486,0.000502552508615576,0.000636948127409983,0.0429259223083815,0.188273733649819,0.155655842764456,-0.00040881143584904,14.2111374670074,6.96245950779567,0.185674601601679
20,1,"1",387,141878.64,0.72650273501353,0.07134329734201,0.20215396764446,0.000532093716257863,0.000193894080852757,0.000409808325772705,0.0317509563910842,0.195177206563738,0.100140122680831,-0.000158089735668958,8.94198810908139,2.9968603891091,0.193597242761232
21,1,"1",286,119783.14,0.586176151334821,0.129530750320955,0.284293098344224,0.000995049079124875,0.000442799296883268,0.000827752581244413,0.0538138552143059,0.162454063927981,0.101200802228958,-0.000305047897381865,18.0982955482597,8.20033302317206,0.158226080063566
22,1,"1",234,46892.32,0.803805186009138,0.0656877288221184,0.130507085168744,0.000733469459936209,0.000354454174009064,0.00044541316615885,0.0336930412669589,0.28661294474912,0.161713931374276,-0.000321255233893211,7.55471697372791,4.65571157126463,0.28561093754325
23,1,"1",514,137710.09,0.642696842330144,0.123996070295212,0.233307087374643,0.000494512670763002,0.000241669322419354,0.000364758927200374,0.0346005136319554,0.125372660084099,0.081860620625943,-0.000185711532990991,16.1728468143285,3.9656840805863,0.123132467891013
24,1,"1",318,85094.86,0.644806161030173,0.108943947965835,0.246249891003992,0.000745912209062207,0.000317984647546982,0.000574987368488597,0.0423559746223184,0.163681639654881,0.0973762633239437,-0.000244454744060296,14.4535896798672,5.43425022695651,0.161285043112107
25,1,"1",257,96365.48,0.742540897425095,0.0838793103090443,0.173579792265861,0.00078154302150489,0.000370755342533473,0.000507646523363988,0.0376492272039327,0.229556110732625,0.129802047724947,-0.000322325920337187,10.1497167571716,5.36119977180237,0.228127201251048
26,1,"1",503,66038.67,0.748163462407707,0.0687968125342318,0.183039725058061,0.000402892647547573,0.000127988931220451,0.000312991998742719,0.0268286102263308,0.164443945818163,0.0966543184928666,-0.000108944790012652,8.42107194736258,1.90285392645234,0.163808090384241
27,1,"1",457,60790.07,0.690839803277081,0.0842935367569078,0.224866659966011,0.000509324512386135,0.000202779755348711,0.000397728044802942,0.032667803695861,0.168934371804145,0.0886886488214977,-0.000157188111465952,10.874714375363,3.28823102120797,0.166749024551392
28,1,"1",1715,1494116.04,0.716142817126841,0.0956977745851654,0.188159408287993,0.00013308820162156,5.68542671632472e-05,9.79680908649695e-05,0.0161090577329801,0.0787915591370901,0.0526037110807312,-4.59871889599188e-05,11.7877543402158,0.844406468852744,0.0779551298683708
29,1,"1",484,370895.38,0.609812179380611,0.16328043773422,0.226907382885168,0.000596269552109074,0.00038708458858488,0.000400448291026331,0.0400428723389998,0.12049493293969,0.0881910666937976,-0.000291452924833811,21.1204238818863,6.0995283966008,0.116935263501078
30,1,"1",930,354212.12,0.683177328884173,0.112642418898597,0.204180252217231,0.000266259817305404,0.000124372983154111,0.000189218678777254,0.0238846767989701,0.0990058958059233,0.0673702667447666,-0.00010070706084113,14.1542628481424,1.9178714789336,0.0978413629903239
31,1,"1",549,140417.58,0.684164974214767,0.0998421280298379,0.215992897755395,0.000502609636958916,0.000239231613629559,0.000376312410148795,0.032768349643654,0.154915707879026,0.089812089287472,-0.00018276442021984,12.7348499451077,3.75735865119624,0.152211509821286
32,1,"1",385,55062.89,0.677889409727677,0.0838216083463836,0.23828898192594,0.000658507067430642,0.000260837499553959,0.000526877284898413,0.03785483616997,0.192676622346104,0.0963276079677419,-0.000196233641043094,11.004384386919,4.36052536078411,0.189759556342564
33,1,"1",706,190814.59,0.661932192920887,0.108050857117372,0.23001694996174,0.000347073807861021,0.000165198761613567,0.000254053184448432,0.0281447513973355,0.118952939183603,0.0692950928632521,-0.000129109692513078,14.0328877514906,2.69994934462945,0.117092952470191
34,1,"1",251,29454.42,0.672960458905658,0.11468635267644,0.212353188417901,0.0009620215579704,0.000466967496089166,0.000684635731483576,0.0460895910815673,0.18842198933683,0.123217103231863,-0.000372176661287995,14.5606318707844,7.31604531581451,0.185762467610725
35,1,"1",613,273854.76,0.493534602064247,0.199672702420801,0.306792695514951,0.000565291910587168,0.000390392973378214,0.000475066889746679,0.0481746733481382,0.098953759846829,0.0710448114911296,-0.000240308997109351,28.8041832694087,7.14508756817353,0.0928000504621759
36,1,"1",1165,197996.26,0.645176580608139,0.109170092404776,0.245653326987086,0.000218689249540489,9.81315500345137e-05,0.000170527962432226,0.0229210824125504,0.0907403920823808,0.0531587978487216,-7.31464185713884e-05,14.4721381177095,1.66019175727138,0.0890320612128722
37,1,"1",259,60799.1,0.665781236893309,0.103678179446735,0.230540583659956,0.000941064870915508,0.000434894871224758,0.000683567404769975,0.0460763670526103,0.201142933876023,0.113407893708368,-0.000346196168685146,13.4741582525409,7.15124916600363,0.198467459851726
38,1,"1",575,251565.89,0.58048318871847,0.168467831628525,0.251048979653005,0.000674049297767244,0.000442852324523918,0.00046232681979292,0.0447256008412118,0.124914391947757,0.0856477746386949,-0.000327287401249122,22.4938383220938,7.38517422817906,0.120813872026638
39,1,"1",578,119982.59,0.666036380778245,0.0886786157891741,0.245285003432581,0.000452183459872514,0.000165498385823032,0.000369069782416484,0.0319270934962544,0.145070121797241,0.0783219060331269,-0.000124306031639531,11.7499474891185,2.82505512487226,0.143046599274951
40,1,"1",232,31295.88,0.751508505272898,0.0942788635436997,0.154212631183402,0.000893354911456695,0.000493691473844361,0.000531917649210305,0.0397720626245357,0.235674977696037,0.149555453165538,-0.000427564368045375,11.146875328206,6.7876456420432,0.233725682619735
